,city,country,date,lat,lon,max_temp,temperature,humidity,cloudiness,wind speed
475,pisco,PE,1582183113,-13.7,-76.22,71.6,71.28,88,100,6.93
476,wonthaggi,AU,1582183114,-38.6,145.59,66.0,62.6,72,99,8.01
477,hovd,MN,1582183114,48.01,91.64,15.64,15.64,36,100,3.74
478,nioro,GM,1582183114,13.35,-15.75,69.46,69.46,22,66,2.57
479,liling,CN,1582183114,27.67,113.5,66.2,66.2,39,0,6.71
480,vardo,NO,1582183114,70.37,31.11,21.2,18.7,78,48,32.21
481,oranjestad,AW,1582183016,12.52,-70.03,78.8,78.8,83,40,18.34
482,prince albert,CA,1582183115,53.2,-105.77,3.2,3.2,77,5,8.05
483,changli,CN,1582183115,39.7,119.15,43.5,43.5,64,21,8.61
484,marsa matruh,EG,1582183116,31.35,27.25,53.6,53.6,66,75,9.17
485,chibombo,ZM,1582183116,-14.66,28.07,68.05,68.05,92,68,5.53
486,satwas,IN,1582183116,22.53,76.68,88.21,88.21,17,4,9.44
487,port hedland,AU,1582183116,-20.32,118.57,96.8,96.8,50,0,14.99
488,manadhoo,MV,1582183117,5.77,73.38,82.18,82.18,76,0,21.85
489,hasanabad,IR,1582183117,36.55,61.05,55.4,55.4,43,67,11.41
490,puerto madryn,AR,1582183117,-42.77,-65.04,52.23,52.23,33,0,11.07
491,waddan,LY,1582183117,29.16,16.14,49.87,49.87,73,16,5.68
492,anshun,CN,1582183118,26.25,105.93,53.38,53.38,80,100,10.31
493,thunder bay,CA,1582182986,48.4,-89.32,0.0,-7.13,69,5,8.05
494,talaya,RU,1582183118,61.38,152.75,-24.07,-24.07,99,89,1.28
495,springbok,ZA,1582183118,-29.66,17.89,68.0,68.0,72,60,3.36
496,sterling,US,1582183118,39.01,-77.43,36.0,30.9,64,1,9.17
497,moron,AR,1582183119,-34.65,-58.62,66.2,64.36,59,0,8.05
498,lasa,IT,1582183119,46.62,10.7,33.8,25.84,79,75,4.7
499,kologriv,RU,1582183119,58.83,44.32,32.38,32.38,96,100,9.19
500,natal,BR,1582183119,-5.79,-35.21,75.2,75.2,94,20,6.93
501,marathon,US,1582183120,44.9,-89.77,-2.2,-7.82,69,1,6.87
502,wanning,CN,1582183120,18.8,110.4,74.17,74.17,68,68,14.0
503,ippy,CF,1582183120,6.27,21.22,79.23,79.23,50,78,3.83
504,mana,GF,1582183120,5.66,-53.78,72.64,72.64,89,98,3.02
505,havre-saint-pierre,CA,1582183121,50.23,-63.6,-4.0,-4.0,53,1,19.46
506,tymovskoye,RU,1582183121,50.85,142.66,13.08,13.08,85,100,4.54
507,hit,IQ,1582183121,33.64,42.83,57.15,57.15,70,49,20.6
508,ulety,RU,1582183121,51.36,112.48,13.39,13.39,75,100,3.67
509,port hawkesbury,CA,1582183122,45.62,-61.35,16.0,14.07,56,1,18.34
510,vizinga,RU,1582183122,61.07,50.1,32.13,32.13,95,100,7.83
511,posse,BR,1582183122,-14.09,-46.37,68.88,68.88,91,83,2.33
512,perisani,RO,1582183122,45.38,24.4,37.4,37.26,87,75,5.82
513,port-gentil,GA,1582183122,-0.72,8.78,82.4,82.4,88,75,3.36
514,coruripe,BR,1582183123,-10.13,-36.18,79.23,79.23,84,100,7.47
515,kitimat,CA,1582182928,54.05,-128.65,32.0,32.0,86,75,2.3
516,sompeta,IN,1582183123,18.93,84.6,84.07,84.07,41,0,6.31
517,sampit,ID,1582183123,-2.53,112.95,94.24,94.24,46,48,3.22
518,davenda,RU,1582183123,53.56,119.32,12.99,12.99,76,6,3.76
519,viseu,PT,1582183124,40.66,-7.91,41.0,36.34,100,0,1.12
520,talcahuano,CL,1582183124,-36.72,-73.12,51.8,51.8,87,0,6.93
521,mogadishu,SO,1582183124,2.04,45.34,81.57,81.57,80,21,14.47
522,manaquiri,BR,1582183125,-3.32,-60.35,80.6,79.7,88,75,2.24
523,talara,PE,1582183125,-4.58,-81.27,74.95,74.95,89,0,12.28
524,kurchum,KZ,1582183125,48.57,83.65,22.75,22.75,88,99,11.74
525,san juan,AR,1582183125,-31.54,-68.54,77.11,77.11,31,0,22.82
526,opuwo,NA,1582183125,-18.06,13.84,68.14,68.14,28,100,4.7
527,mazatlan,MX,1582183008,23.22,-106.42,71.01,69.01,93,5,13.51
528,villa bruzual,VE,1582183126,9.33,-69.12,75.78,75.78,74,40,8.52
529,chincha alta,PE,1582183126,-13.41,-76.13,71.6,71.28,88,100,6.93
530,sola,VU,1582183126,-13.88,167.55,82.8,82.8,81,53,16.53
531,ladario,BR,1582183126,-19.0,-57.6,75.67,75.67,96,100,3.33
532,whitehorse,CA,1582183127,60.72,-135.05,28.0,26.15,73,20,14.99
533,beisfjord,NO,1582183127,68.38,17.6,23.0,14.92,45,31,17.22
534,tessalit,ML,1582183127,20.2,1.01,62.4,62.4,16,11,13.65
535,florida,US,1582183127,28.75,-82.5,70.0,66.7,93,40,4.7
536,aksarka,RU,1582183128,66.56,67.8,23.09,23.09,92,87,2.28
537,banfora,BF,1582183128,10.63,-4.77,69.13,69.13,18,0,4.34
538,merauke,ID,1582183128,-8.47,140.33,86.56,86.56,69,100,13.2
539,kahului,US,1582183128,20.89,-156.47,71.6,70.11,83,40,10.29
540,flin flon,CA,1582183128,54.77,-101.86,-0.87,-0.87,94,5,8.77
541,belfast,GB,1582183082,54.58,-5.93,41.0,40.06,86,100,11.41
542,wajir,KE,1582183129,1.75,40.06,83.84,83.84,54,50,11.95
543,gornopravdinsk,RU,1582183129,60.05,69.9,31.53,31.53,93,99,8.5
544,port keats,AU,1582183129,-14.25,129.55,91.85,91.85,58,81,12.12
545,nicolas bravo,MX,1582183129,18.45,-88.92,78.8,78.8,88,40,11.41
546,tarabha,IN,1582183130,20.73,83.65,88.47,88.47,34,5,1.52
547,novyy urengoy,RU,1582183130,66.08,76.63,32.29,32.29,100,100,4.5
548,alcudia,ES,1582182942,39.85,3.12,48.0,41.23,100,20,3.36
549,seoul,KR,1582182921,37.57,126.98,51.8,50.68,34,1,2.24
550,hami,CN,1582183131,42.8,93.45,30.97,30.97,42,95,7.34
551,litovko,RU,1582183131,49.24,135.17,12.42,12.42,85,60,9.22
552,praya,CV,1582183131,14.92,-23.51,67.84,67.84,86,91,16.98
553,yenagoa,NG,1582183131,4.92,6.26,75.76,75.76,95,46,2.15
554,la rioja,ES,1582183132,42.25,-2.5,28.4,28.4,100,0,2.24
555,agirish,RU,1582183132,61.92,63.02,28.38,28.38,88,100,7.27
556,gwadar,PK,1582183132,25.12,62.33,73.0,73.0,44,18,11.68
557,songjianghe,CN,1582183132,42.19,127.48,28.17,28.17,64,0,5.26
558,vestmanna,FO,1582183132,62.16,-7.17,37.4,37.4,69,100,29.97
559,liverpool,GB,1582183133,53.41,-2.98,52.0,49.57,81,75,20.8
